"Kevin Hart's VitaHustle One Superfood Greens Powder Drink Mix for Digestion & Detox with Probiotics, Mixed Berry, 25 Servings",1275290919,"Prebiotic chicory root, blue agave inulin, organic flaxseed, organic wheat grass powder, organic spirulina powder, organic barley grass powder, beet root powder, carrot powder, broccoli powder, kale leaf powder, spinach leaf powder, organic chlorella powder, organic alfalfa leaf powder, horseradish tree leaf (Moringa oleifera), ginger root, apple fruit powder, blueberry powder, pomegranate fruit extract, maqui berry fruit powder, cranberry fruit extract, strawberry fruit powder, FruitSource® tart cherry fruit powder, acai fruit extract (Euterpe oleracea), grape seed extract, green tea leaf extract, raspberry fruit juice powder, digestive enzymes (Fungal amylase, amyloglucosidase, fungal protease, acid protease, cellulase, lipase, organic sugar, natural mixed berry flavor, malic acid, citric acid, and stevia leaf extract."
"Codeage Mimosa Pudica Seed, Organic Mimosa Pudica Capsules, Black Walnut, Cloves, Botanicals, Vegan, 120 ct",606778294,"Organic Mimosa pudica (Seed), Proprietary Cleansing Blend Black Walnut Powder, Cloves (Syzygium aromaticum; Bud), Wormwood (Artemisia absinthium; Leaves & Stem), Chanca Piedra (Phyllanthus niruri; 4:1 Extract), Neem Extract (Azadirachta indica), Vidanga Extract (Embelia ribes), BioPerine® (Black Pepper Extract; Piper nigrum; Fruit)."
"Xyzal Adult Allergy 24HR (80 Ct), Allergy Relief Tablets",148814020,"Active Ingredients: In Each Tablet: Levocetirizine Dihydrochloride (5 mg). Purpose: Antihistamine. Inactive Ingredients: Colloidal Anhydrous Silica, Hypromellose, Lactose Monohydrate, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol 400, Titanium Dioxide."
Allegra Adult 24 Hour Non-Drowsy Antihistamine Allergy Relief Medicine 180mg Tablets 15ct,15529218,"Active Ingredients: In Each Tablet: Fexofenadine HCl (180 mg). Purpose: Antihistamine. Inactive Ingredients: Colloidal Silicon Dioxide, Croscarmellose Sodium, Hypromellose, Iron Oxide Blends, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol, Povidone, Pregelatinized Starch, Titanium Dioxide."
Dulcolax Stimulant Laxative Tablets for Overnight Constipation Relief 50ct,46120361,"Active Ingredients: In Each Tablet: Bisacodyl (USP) (5 mg). Purpose: Stimulant Laxative. Inactive Ingredients: Acacia Gum, Ammonium Hydroxide, Beeswax, Carnauba Wax, Corn Starch, D&C Red 30 Aluminum Lake, D&C Yellow 10 Aluminum Lake, Glycerin, Glyceryl Monostearate, Iron Oxides, Lactose Monohydrate, Magnesium Stearate, Methacrylic Acid Ethyl Acrylate Copolymer, Methylparaben, Modified Starch, Polyethylene Glycol 6000, Polysorbate 80, Povidone, Propylene Glycol, Propylparaben, Shellac, Sodium Benzoate, Sucrose, Talc, Titanium Dioxide, Triethyl Citrate"
"L’il Critters Fiber Daily Gummy Supplement for Kids, for Digestive Support, Berry and Lemon Flavors, 90 Gummies",35911323,"Polydextrose, water, xylitol, gelatin; less than 2% of: blend of oils (coconut and/or palm) with beeswax and/or carnauba wax, colors (purple carrot juice concentrate, turmeric), malic acid, natural flavors, and sucralose. Contains:  tree nuts (coconut)"
"Allegra Adult 24HR Non-Drowsy Allergy Symptom Relief Tablets, 60 Ct",316492290,"Ingredients: Active Ingredients: In Each Tablet: Fexofenadine HCl (180 mg). Purpose: Antihistamine. Inactive Ingredients: Colloidal Silicone Dioxide, Croscarmellose Sodium, Hypromellose, Iron Oxide Blends, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol, Povidone, Pregelatinized Starch, Titanium Dioxide."
"Contour Next Blood Glucose Test Strips, 70 Ct",374292394,Reagents: FAD Glucose Dehydrogenase; Mediator; Nonreactive Ingredients
Aspercreme Maximum Strength Muscle & Joint Pain Relief Numbing No Mess Roll-On with Lidocaine & Lavender 2.5oz,126873679,Lidocaine HCl 4%
Cortizone 10 Maximum Strength 1% Hydrocortisone Anti-Itch Lotion for Eczema 3.5oz,15610515,"Active Ingredients: Hydrocortisone (1%). Purpose: Anti-Itch. Inactive Ingredients: Water, Glycerin, Dimethicone, Petrolatum, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dextrin, Cetyl Alcohol, Isohexadecane, Methyl Gluceth-20, Aloe Barbadensis Leaf Juice, Avena Sativa (Oat) Kernel Extract, Butyrospermum Parkii (Shea) Butter Extract, Boswellia Serrata Gum, Zingiber Officinale (Ginger) Root Extract, Bisabolol, Magnesium Ascorbyl Phosphate, Tocopheryl Acetate, Retinyl Palmitate, Maltodextrin, Methylparaben, Phenoxyethanol, Propylparaben, Polysorbate 60, Disodium EDTA, Dipropylene Glycol, Glyceryl Stearate, Sodium Citrate."
"Nasacort 24HR Allergy Nasal Spray, Non-drowsy, 60 Sprays, 0.37 fl. oz.",33606262,"Active Ingredients: In Each Spray: Triamcinolone Acetonide (Glucocorticoid) (55 mcg). Purpose: Nasal Allergy Symptom Reliever. Inactive Ingredients: Benzalkonium Chloride, Carboxymethylcellulose Sodium, Dextrose, Edetate Disodium, Hydrochloric Acid or Sodium Hydroxide (for pH Adjustment), Microcrystalline Cellulose, Polysorbate 80, Purified Water."
"Gold Bond Psoriasis Multi-Symptom Relief Hand and Body Lotion & Cream for Itchy, Dry Skin 4oz",52497355,"Active Ingredients: Salicylic Acid (3 %). Purpose: Psoriasis, Seborrheic Dematitis. Inactive Ingredients: Water, Hydroxyethyl Urea, Petrolatum, Aminomethyl Propanol, Glycerin, Dimethicone, Gluconolactone, Steareth-21, Jojoba Esters, Glyceryl Stearate, Stearyl Alcohol, Aloe Barbadensis, Aloe Barbadensis Leaf Juice, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butyrospermum Parkii (Shea) Butter Extract, Methyl Gluceth-20, Ceteareth-25, Zea Mays (Corn) Oil, Zingiber Officinale (Ginger) Root Extract, Ceramide NP, Hydrolyzed Jojoba Esters, Cetearyl Alcohol, Stearamidopropyl PG-Dimonium Chloride Phosphate, Panthenol, Tocopheryl Acetate, Ceramide EOP, Pentylene Glycol, Ceramide EOS, Bis-Lauryl Cocaminopropylamine/HDI/PEG-100 Copolymer, Cholesterol, Propylene Glycol, Caprooyl Phytosphingosine, Polysorbate 60, Ceramide NS, Cetyl Alcohol, Isohexadecane, Ethylhexylglycerin, 4-T-Butylcyclohexanol, Ceramide AP, EDTA, Behenic Acid, Butylene Glycol, Caprooyl Sphingosine, Methylparaben, Tocopherol."
"Sting-Kill First Aid Anesthetic Swabs, Instant Pain + Itch Relief From Bee Stings and Bug Bites, 5 Ct",471031782,"Active: Benzocaine USP (20 %), Menthol USP (1 %). Purpose: (For Pain) Topical Anesthetic. (Anti-Itch) Antipruritic. Inactive: FD&C Blue 1, FD&C Yellow 5, Isopropyl Alcohol, Isopropyl Alcohol 15%, PEG-8, Water."
"Welly Bravery Badges Assorted Colorwash, 48 bandages",227234585,Product not made with natural rubber latex.
"Johnson & Johnson Travel Ready Portable Emergency First Aid Kit, 80 pc",739232858,"Johnson & Johnson Hand Cleansing Wipes  Water, Isopropyl Alcohol, Benzalkonium Chloride, Sodium Bicarbonate"
"Nutricost Chicory Root 650mg 120 Capsules - Non-GMO, Gluten Free, Vegetarian Supplement",296133525,"Chicory root (Cichorium intybus)(root) , hypromellose (cellulose) capsule, rice flour, silicon dioxide, olive oil."
ColonBroom Psyllium Husk Powder,1795067735,"Natural Flavor, Citric Acid, Crystallized Lemon (citric acid, lemon oil, lemon juice), Stevia Leaf Extract, Sea Salt, Fruit & Vegetable Juice (color), Rice Hulls."
"Nature's Craft Liver Support Supplement with Milk Thistle, 60 Count Vegan Capsules",853834070,"This product is made in the USA and manufactured by a (GMP ) registered facility, and contains ingredients of domestic and international origin."
"Equate Ibuprofen Tablets, 200 mg, Pain Reliever and Fever Reducer, 500 Count",39661525,"Active ingredient (in each tablet): Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug. Inactive ingredients: colloidal silicon dioxide, corn starch, croscarmellose sodium, hypromellose, iron oxide red, iron oxide yellow, microcrystalline cellulose, polyethylene glycol, polysorbate 80, stearic acid, titanium dioxide."
Ricola Original Herb Cough Drops - 45 Count,10805242,"Active Ingredients: Menthol (4.8 mg), Cough suppressant, oral anesthetic. Inactive Ingredients: Color (Caramel), Extract of a Ricola Herb Mixture (Elder, Horehound, Hyssop, Lemon Balm, Linden Flowers, Mallow, Peppermint, Sage, Thyme, Wild Thyme), Natural Flavor, Starch Syrup, Sugar."
"Children's Zyrtec 24 Hour Allergy Relief Syrup, Bubble Gum, 4 fl. oz",12167230,"Active ingredient (in each 5 mL): Cetirizine HCl 5 mg (antihistamine)Inactive ingredients: anhydrous citric acid, flavors, propylene glycol, purified water, sodium benzoate, sorbitol solution, sucralose"
"Equate Extra Strength Acetaminophen Caplets, 500 mg, 200 Count",594556130,"Active Ingredients: in each caplet Acetaminophen (500 mg). Purpose: Pain reliever/fever reducer Inactive Ingredients: Carnauba Wax (May Contain One or More of These Ingredients), Croscarmellose Sodium (May Contain One of More These Ingredients), Hypromellose, Polyethylene Glycol, Povidone, Sodium Starch Glycolate (May Contain One of More These Ingredients), Stearic Acid."
"Equate Fresh Scent Flushable Wipes, 5 Resealable Packs (240 Total Wipes)",873764,"Water, Glycerin, Cocamidopropyl PG-Dimonium Chloride Phosphate, Sodium Benzoate, Fragrance, Citric Acid, Aloe barbadensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Tocopheryl Acetate"
"Xyzal Adult Allergy 24HR (35 Ct), Allergy Relief Tablets",101001212,"Active Ingredients: In Each Tablet - Levocetirizine Dihydrochloride (5 mg). Purpose: Antihistamine. Inactive Ingredients: Colloidal Anhydrous Silica, Hypromellose, Lactose Monohydrate, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol 400, Titanium Dioxide."
"Spirit 360 All Day Allergy Relief, Indoor/Outdoor, 10mg Cetirizine Hcl, 14 Tablets",375917461,Cetirizine HCl 10 mg
"Equate 24 Hour Allergy, Cetirizine Hydrochloride Tablets, 10 mg, 45 Count",10899001,"Active ingredient (in each tablet): Cetirizine HCl 10 mg. Inactive ingredients: corn starch, FD&C blue no. 1 aluminum lake, hypromellose, lactose monohydrate, magnesium stearate, polydextrose, polyethylene glycol, povidone, titanium dioxide, triacetin."
Aspercreme Maximum Strength Muscle & Joint Pain Relief Numbing Dry Spray with Lidocaine 4oz,254661161,"Active Ingredients: Lidocaine (4 %). Purpose: Topical Anesthetic. Inactive Ingredients: Caprylic/Capric Triglycerides, Isobutane, Propylene Glycol, SD Alcohol 40 (30%)."
Icy Hot Original Muscle & Joint Pain Relief Cream with Menthol 3oz,919335163,Menthol 10% Menthyl Salicylate 30%
Icy Hot Maximum Strength Muscle & Joint Pain Relief Numbing Cream with Lidocaine and Menthol 4oz,835713101,"Active Ingredients: Lidocaine (4 %), Menthol (1 %). Purpose: Topical anesthetic, Topical anesthetic Inactive Ingredients: Alcohol Denat. (30%), Caprylic/Capric Triglycerided, Isobutane, Propylene Glycol.."
"Icy Hot Original Medicated Muscle & Joint Pain Relief No Mess, Roll-On Liquid with Menthol 2.5oz",13263176,"Active Ingredients: Menthol (16%), Purpose: Topical Analgesic, Inactive Ingredients: Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Capsaicin, Glycerin, Isopropyl Myristate, Propylene Glycol, SD Alcohol 40 (30%), Triethanolamine, Water"
"Equate Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 90 Count, 2 Pack",20629926,"Active ingredient (in each tablet): Cetirizine HCl 10 mg. Inactive ingredients: corn starch, FD&C blue no. 1 aluminum lake, hypromellose, lactose monohydrate, magnesium stearate, polydextrose, polyethylene glycol, povidone, titanium dioxide, triacetin."
"Equate Extra Strength Acetaminophen Caplets, 500 mg, 50 Count",113528327,Acetaminophen
"Equate Extra Strength Pain Reliever PM Caplets, 100 Count",415787705,Acetaminophen 500mg
"Equate Premium Saline Nasal Moisturizing Spray, 1.5 fl oz",10324485,"Contains: Purified water, sodium chloride 0.65%, disodium phosphate, phenylcarbinol, monosodium phosphate, benzalkonium chloride."
"Nestle Coffee mate Peppermint Mocha Liquid Coffee Creamer, 32 fl oz",19399948,"WATER, SUGAR, VEGETABLE OIL (HIGH OLEIC SOYBEAN AND/OR HIGH OLEIC CANOLA), AND LESS THAN 2% OF MICELLAR CASEIN (A MILK DERIVATIVE)**, NATURAL AND ARTIFICIAL FLAVOR, MONO- AND DIGLYCERIDES, DIPOTASSIUM PHOSPHATE, CELLULOSE GEL, CELLULOSE GUM, CARRAGEENAN."
"Dr Teal's Pure Epsom Salt Soak, Soothe & Sleep with Lavender, 3lbs",14089666,"MAGNESIUM SULFATE (EPSOM SALT), FRAGRANCE (PARFUM), LAVADULA ANGUSTIFOLIA (LAVENDER) OIL, LINALOOL."
"Onyx Professional 100% Pure Acetone Nail Polish Remover, 16 fl oz",11047134,"Acetone, Denatonium Benzoate"
Gold Bond Healing Hydrating Hand and Body Lotion & Cream for Dry Skin 14oz,10307700,Dimethicone / Menthol
Primatene MIST Oral Inhalation Aerosol 160 Metered Sprays *EN,678516166,
"Velocity Pharma Levocetirizine Dihydrochloride USP Allergy Relief Tablets, 5mg, 180 Count",751272180,
Timely - Cetirizine HCl 10 mg 365Ct – Fast Allergy Relief – Allergy Medication,1647911043,
"NeilMed Pharmaceuticals SinuFlo, ReadyRinse Premixed Nasal Wash, 1 ea",22211183,"Purified Water, USP Grade Sodium Chloride and Sodium Bicarbonate (Purity Level 99% or Higher) to Make buffered Saline Solution, Benzalkonium Chloride as a Preservative."
"Sudafed PE Sinus Pressure + Pain Relief Decongestant Tablets, 24 ct",21832052,"Active Ingredients (in each caplet):Acetaminophen 325 mg (Pain-reliever/ Fever reducer)Phenylephrine HCl 5 mg (Nasal decongestant)Inactive Ingredients: Carnauba wax, corn starch, FD&C yellow no. 6 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, powdered cellulose, pregelatinized starch, sodium starch glycolate, titanium dioxide"
"Equate Children's Allergy Relief, Cherry Flavor Liquid, 4 fl oz",12169290,"Active ingredient (in each 5 mL): Diphenhydramine HCl 12.5 mg. Inactive ingredients: anhydrous citric acid, D&C red #33, FD&C red #40, flavor, glycerin, high fructose corn syrup, poloxamer 407, purified water, sodium benzoate, sodium chloride, sodium citrate, sorbitol solution."
"HALLS Defense Assorted Citrus Vitamin C Drops, Economy Pack, 80 Drops",10293979,"Glucose Syrup, Sugar, Sodium Ascorbate, Citric Acid, Ascorbic Acid, Natural Flavor, Red 40, Beta Carotene (For Color), Soy Lecithin. Contains: Soy."
"Sudafed PE Non-Drowsy Head Congestion + Pain Relief Caplets, 20 ct",585947508,"Active ingredients (in each caplet)Ibuprofen 200 mg (NSAID)*Phenylephrine HCl 10 mg*nonsteroidal anti-inflammatory drugPurposesPain reliever/fever reducerNasal decongestantInactive ingredients colloidal silicon dioxide, croscarmellose sodium, lactose monohydrate,magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, pregelatinizedstarch, stearic acid, talc, titanium dioxide"
"Equate Allergy Relief Fluticasone Propionate Nasal Spray, 50 mcg, 144 Metered  Sprays, 2 Pack",304724828,"Active ingredient (in each spray): fluticasone propionate (glucocorticoid) 50 mcg. Inactive ingredients: benzalkonium chloride, dextrose, microcrystalline cellulose, phenylethyl alcohol, polysorbate 80, purified water, sodium carboxymethylcellulose."
Simply Saline Extra Strength Plus with Calming Eucalyptus for Severe Congestion Relief Nasal Mist: 4.6oz,235102581,"Purified water, sodium chloride, eucalyptus globulus leaf oil, menthol, glycerin, benzalkonium chloride, benzyl alcohol, polysorbate 80, sodium bicarbonate"
"Children's Benadryl Dye-Free Allergy Liquid, Bubble Gum, 8 fl. oz",478445105,"Active ingredient (in each 5 mL)Diphenhydramine HCl 12.5 mgPurposeAntihistamineInactive ingredients  Anhydrous citric acid, carboxymethylcellulose sodium, flavors, glycerin, purified water, saccharin sodium, sodium benzoate, sodium citrate, sorbitol solution"
"Xyzal Children's Allergy 24HR Oral Solution (5 Oz), Allergy Relief",165298926,"Active Ingredients: In Each 5 ml: Levocetirizine Dihydrochloride (2.5 mg). Purpose: Antihistamine. Inactive Ingredients: Flavor, Glacial Acetic Acid, Glycerin, Maltitol Solution, Methylparaben, Propylparaben, Purified Water, Saccharin Sodium, Sodium Acetate Trihydrate."
"Nasonex 24HR Allergy Nasal Spray, 24 Hour Non Drowsy Allergy Medicine 120 spray",173526382,"Active ingredient (in each spray)PurposeMometasone furoate monohydrate (glucocorticoid) 50 mcg ...................... Allergy symptom relieve Inactive ingredientsbenzalkonium chloride,citric acid,glycerin, microcrystalline cellulose and carboxymethylcellulose sodium, polysorbate 80, purified water, sodium citrate"
"Mucinex Fast-Max Maximum Strength Cold & Flu Day and Night Medicine, All-in-One Multi-Symptom Relief Liquid Gels – 24 count (16 Day time + 8 Night time) (Packaging May Vary)",45925313,"Active Ingredients: (Mucinex Fast-Max Day Severe Cold): In Each Liquid Gel: Acetaminophen (325 mg),  Dextromethorphan HBr (10 mg),  Guaifenesin (200 mg),  Phenylephrine HCl (5 mg).  (Mucinex Fast-Max Night Cold & Flu): In Each Liquid Gel: Acetaminophen (3"
"Zyrtec 24 Hour Allergy Relief Antihistamine Capsules, 25Ct",14971991,"Active ingredient (in each capsule): Cetirizine HCl 10 mg (antihistamine)Inactive ingredients: gelatin, glycerin, mannitol, pharmaceutical ink, polyethylene glycol 400, purified water, sodium hydroxide, sorbitan, sorbitol."
"Equate Earloop Face Masks, Blue, 25 Count",365460449,
"Children's Sudafed PE Nasal Decongestant, Liquid Cold Relief Medicine with Phenylephrine HCl, Alcohol Free and Sugar-Free, Berry-Flavored, 4 fl. oz",12167242,"Active Ingredient (in each 5 mL = 1 teaspoonful): Phenylephrine HCl 2.5 mg (Nasal decongestant) Inactive Ingredients: Anhydrous citric acid, carboxymethylcellulose sodium, edetate disodium, FD&C red no. 40, flavors, glycerin, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose"
"Pataday Once Daily Extra Strength Eye Care Allergy Relief Eye Drops, Twin Pack",167729212,Olopatadine hydrochloride ophthalmic solution 0.7%
(4 Pack) Xlear Sinus Neti Refill Solution (NetiXlear 6 g packets) 50 Ct,103252518,
"Equate Eye Allergy Itch Relief Solution 0.2%, 2.5 ml, 2 Pack",125476085,"Active ingredient Purpose Olopatadine (0.2%)................................Antihistamine (equivalent to olopatadine hydrochloride, USP 0.222%) Inactive ingredients benzalkonium chloride 0.01%, dibasic sodium phosphate, edetate disodium, hydrochloric acid/sodium hydroxide (adjust pH), povidone, sodium chloride and water for injection"
"Afrin No Drip Severe Congestion Pump Mist Nasal Spray, 1-15 mL Bottle",10419746,Oxymetazoline hydrochloride 0.05%
"Benadryl Extra Strength Anti-Itch Topical Analgesic Gel, 3.5 fl. oz",35756723,"Active ingredientDiphenhydramine HCI 2%PurposeTopical AnalgesicInactive ingredients SD alcohol 38-B, camphor, citric acid, diazolidinyl urea, glycerin, hydroxypropyl methylcellulose, methylparaben, propylene glycol, propylparaben, purified water, sodium citrate"
Allegra Children's 12 Hour Non-Drowsy Antihistamine Allergy Relief Medicine 30mg Meltable Tablets 24ct,49916337,"Active Ingredients: In Each Tablet: Fexofenadine HCl (30 mg). Purpose: Antihistamine. Inactive Ingredients: Aspartame, Crospovidone, Flavors, Lactose Monohydrate, Magnesium Stearate, Methacrylic Acid Copolymer, Microcrystalline Cellulose, Povidone, Silicon Dioxide."
"Vicks NyQuil Severe Liquicaps, Nighttime Cold, Cough & Flu Relief, Over-the-Counter Medicine, 24 Ct",420190210,"Active Ingredients: Acetaminophen 325 mg (Pain Reliever/Fever Reducer), Dextromethorphan HBr 10 mg (Cough Suppressant), Doxylamine Succinate 6.25 mg (Antihistamine), Phenylephrine HCl 5 mg (Nasal Decongestant) Inactive Ingredients: FD&C Blue No, 1, Gelatin, Glycerin, Pharmaceutical Ink*, Polyethylene Glycol, Povidone, Propylene Glycol, Purified Water, Sorbitol Sorbitan Solution *May Contain This Ingredient"
"Vicks DayQuil & NyQuil Severe Liquicaps, Cough, Cold & Flu Relief, over-the-Counter Medicine, 48 Ct",764972753,"Vicks NyQuil: Active Ingredients: Acetaminophen 325 mg (Pain Reliever/Fever Reducer), Dextromethorphan HBr 10 mg (Cough Suppressant), Doxylamine Succinate 6.25 mg (Antihistamine), Phenylephrine HCl 5 mg (Nasal Decongestant) Inactive Ingredients: FD&C Blue No, 1, Gelatin, Glycerin, Pharmaceutical Ink*, Polyethylene Glycol, Povidone, Propylene Glycol, Purified Water, Sorbitol Sorbitan Solution *May Contain This IngredientVicks DayQuil: Active Ingredients: Acetaminophen 325 mg (Pain Reliever/Fever Reducer), Dextromethorphan HBr 10 mg (Cough Suppressant), Guaifenesin 200 mg (Expectorant), Phenylephrine HCl 5 mg (Nasal Decongestant) Inactive Ingredients: Ammonium Hydroxide, FD&C Blue No, 1, FD&C Red No, 40, Gelatin, Glycerin, Polyethylene Glycol, Povidone, Propylene Glycol, Purified Water, Shellac, Simethicone, Sorbitol Sorbitan Solution, Titanium Dioxide"
"Nasacort 24HR Allergy Nasal Spray, Non-drowsy, 0.57 fl. oz.",33606263,In Each Spray: Triamcinolone Acetonide (Glucocorticoid) 55 mcg
"Equate Children's Cetirizine Hydrochloride Allergy Relief Oral Solution, 4 fl oz",454221451,"artificial grape flavor, glacial acetic acid, glycerin, methylparaben, natural and artificial banana flavor, propylene glycol, proplparaben, purified water, sodium acetate anhydrous), sucralose"
"Equate Children’s 12-Hour Allergy Relief Fexofenadine Liquid Berry Flavor, 4 fl oz",989642347,"Active Ingredient: Fexofenadine HCI, USP 30 mg. Inactive ingredients: artifical raspberry flavor, butylparaben, edetate disodium, poloxamer 407, propylene glycol, propylparaben purified water, sodium phosphate dibasic, sodium phosphate monobasic, sucrose, titanium dioxide, xanthan gum, xylitol"
Alaway® Antihistamine Eye Drops (Ketotifen Fumarate Ophthalmic Solution 0.035%) from Bausch + Lomb 0.34 FL OZ (10 mL),594499809,"ACTIVE INGREDIENT: Ketotifen 0.025% / INACTIVE INGREDIENTS: benzalkonium chloride 0.01%, glycerin, hydrochloric acid and/or sodium hydroxide, water for injection"
"Claritin Non-Drowsy Allergy Medicine for Kids, Loratadine Antihistamine Grape Syrup, 4 fl oz",51291126,"Loratadine 5 mg (Antihistamine), Edetate Disodium; Flavor; Glycerin; Maltitol; Monobasic Sodium Phosphate; Phosphoric Acid; Propylene Glycol; Purified Water; Sodium Benzoate; Sorbitol; Sucralose"
"Equate Contact Lens Rewetting Drops, 0.5 fl oz",45912949,"A Sterile, Isotonic Solution That Contains Poly (N-Vinyl-2-Pyrrolidinone), Boric Acid, Potassium Chloride, Sodium Borate and Sodium Chloride; Preserved With Edetate Disodium 0.1% and Hexadienoic Acid 0.1%."
"Vicks Dayquil & Nyquil Vapocool Liquid Cold & Flu Medicine, over-the-Counter Medicine, 2 x12 oz",776426658,"DayQuil: Active Ingredients (in each 30 mL): Acetaminophen 650 mg (Pain reliever/fever reducer), Dextromethorphan HBr 20 mg (Cough suppressant), Guaifenesin 400 mg (Expectorant), Phenylephrine HCl 10 mg (Nasal decongestant)Inactive Ingredients: Alcohol, Citric Acid, D&C Yellow No, 10, FD&C Blue No, 1, Flavor, Glycerin, Propylene Glycol, Purified Water, Saccharin Sodium, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sorbitol, SucraloseNyQuil: Active Ingredients (in each 30 mL): Acetaminophen 650 mg (Pain reliever/fever reducer), Dextromethorphan HBr 20 mg (Cough suppressant), Doxylamine succinate 12.5 mg (Antihistamine), Phenylephrine HCl 10 mg (Nasal decongestant)Inactive Ingredients: Alcohol, Citric Acid, D&C Yellow No, 10, FD&C Blue No, 1, Flavor, Glycerin, Propylene Glycol, Purified Water, Saccharin Sodium, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sorbitol, Sucralose"
"100 Pack USA Made Black Disposable Face Masks 3 Ply for Protection, Elastic Ear Loop Filter Mask for Adult",624902798,
